ID_материала,URL,Заголовок,Раздел_корпуса,Номер_объекта,Тип_текста,Концепт,Фрейм,Метафора,Субъектная_роль,Ценностная_оппозиция,Модель_действия
M339,https://www.mk.ru/video/2025/01/16/analitik-rasskazal-kuda-vkladyvatsya-v-2025-godu-video.html,"Аналитик рассказал, куда вкладываться в 2025 году: видео",Медленный (культурная публицистика),6,Интервью,Долг,Экономический рост,Засуха,Наблюдатель,Традиция–Новаторство,
M339,https://www.mk.ru/video/2025/01/16/analitik-rasskazal-kuda-vkladyvatsya-v-2025-godu-video.html,"Аналитик рассказал, куда вкладываться в 2025 году: видео",Медленный (культурная публицистика),7,Лонгрид,Развитие,Управление ресурсами,Системное изменение,Новатор,Справедливость–Законность,
M340,https://www.mk.ru/social/2025/06/19,Новости общества и общественной жизни - МК за 19 июня 2025,Медленный (культурная публицистика),1,Репортаж-эссе,Семья,Социальная солидарность,Засуха,Свидетель,Общее–Частное,
M340,https://www.mk.ru/social/2025/06/19,Новости общества и общественной жизни - МК за 19 июня 2025,Медленный (культурная публицистика),2,Культурная публицистика,Сила,Конфликт интересов,Режиссура,Враг,Сила–Слабость,
M340,https://www.mk.ru/social/2025/06/19,Новости общества и общественной жизни - МК за 19 июня 2025,Медленный (культурная публицистика),3,Рецензия,Долг,Межпоколенческие отношения,Семя,Жертва,Равенство–Иерархия,
M340,https://www.mk.ru/social/2025/06/19,Новости общества и общественной жизни - МК за 19 июня 2025,Медленный (культурная публицистика),4,Лонгрид,Справедливость,Институциональная трансформация,Фундамент,Оппонент,Свой–Чужой,
M340,https://www.mk.ru/social/2025/06/19,Новости общества и общественной жизни - МК за 19 июня 2025,Медленный (культурная публицистика),5,Очерк,Безопасность,Социальная поляризация,Фундамент,Защитник,Добро–Зло,
M340,https://www.mk.ru/social/2025/06/19,Новости общества и общественной жизни - МК за 19 июня 2025,Медленный (культурная публицистика),6,Интервью,Достоинство,Культурная трансформация,Корни,Бунтарь,Свобода–Безопасность,
M340,https://www.mk.ru/social/2025/06/19,Новости общества и общественной жизни - МК за 19 июня 2025,Медленный (культурная публицистика),7,Эссе,Порядок,Политическая трансформация,Трагедия,Лидер,Единство–Разделение,
M340,https://www.mk.ru/social/2025/06/19,Новости общества и общественной жизни - МК за 19 июня 2025,Медленный (культурная публицистика),8,Культурная публицистика,Ответственность,Социальная мобильность,Архитектура,Герой,Справедливость–Законность,
M341,https://www.mk.ru/authors/mkru-/god-2025,MK.RU - Авторы статей и новостей МК | Публикации за 2025 год,Медленный (культурная публицистика),1,Эссе,Долг,Социальная дифференциация,Механизм,Новатор,Справедливость–Законность,
M341,https://www.mk.ru/authors/mkru-/god-2025,MK.RU - Авторы статей и новостей МК | Публикации за 2025 год,Медленный (культурная публицистика),2,Лонгрид,Развитие,Финансовые связи,Наводнение,Жертва,Стабильность–Перемены,
M341,https://www.mk.ru/authors/mkru-/god-2025,MK.RU - Авторы статей и новостей МК | Публикации за 2025 год,Медленный (культурная публицистика),3,Эссе,Ответственность,Рыночная конъюнктура,Поломка,Творец,Честь–Выгода,
M341,https://www.mk.ru/authors/mkru-/god-2025,MK.RU - Авторы статей и новостей МК | Публикации за 2025 год,Медленный (культурная публицистика),4,Колонка,Труд,Инновационный прорыв,Механизм,Трудолюбивый,Общее–Частное,
M341,https://www.mk.ru/authors/mkru-/god-2025,MK.RU - Авторы статей и новостей МК | Публикации за 2025 год,Медленный (культурная публицистика),5,Колонка,Равенство,Экономический рост,Исток,Устроитель,Индивидуальное–Коллективное,
M341,https://www.mk.ru/authors/mkru-/god-2025,MK.RU - Авторы статей и новостей МК | Публикации за 2025 год,Медленный (культурная публицистика),6,Интервью,Стабильность,Экономическая динамика,Прививка,Наблюдатель,Традиция–Новаторство,
M341,https://www.mk.ru/authors/mkru-/god-2025,MK.RU - Авторы статей и новостей МК | Публикации за 2025 год,Медленный (культурная публицистика),7,Эссе,Суверенитет,Конфликт интересов,Оборона,Защитник,Порядок–Хаос,
M342,https://www.mk.ru/authors/olga-grekova/god-2025,Ольга Грекова | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),1,Репортаж-эссе,Благополучие,Рыночная конъюнктура,Исток,Трудолюбивый,Традиция–Новаторство,
M342,https://www.mk.ru/authors/olga-grekova/god-2025,Ольга Грекова | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),2,Колонка,Прогресс,Финансовые связи,Увядание,Жертва,Стабильность–Перемены,
M342,https://www.mk.ru/authors/olga-grekova/god-2025,Ольга Грекова | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),3,Лонгрид,Справедливость,Экономический рост,Запруда,Наблюдатель,Индивидуальное–Коллективное,
M342,https://www.mk.ru/authors/olga-grekova/god-2025,Ольга Грекова | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),4,Репортаж-эссе,Равенство,Экономическая модернизация,Системное изменение,Творец,Честь–Выгода,
M342,https://www.mk.ru/authors/olga-grekova/god-2025,Ольга Грекова | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),5,Рецензия,Ответственность,Экономическая динамика,Настройка,Новатор,Справедливость–Законность,
M342,https://www.mk.ru/authors/olga-grekova/god-2025,Ольга Грекова | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),6,Очерк,Любовь,Человеческое достоинство,Корни,Мудрец,Прошлое–Будущее,
M342,https://www.mk.ru/authors/olga-grekova/god-2025,Ольга Грекова | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),7,Культурная публицистика,Стабильность,Управление ресурсами,Системное изменение,Устроитель,Общее–Частное,
M342,https://www.mk.ru/authors/olga-grekova/god-2025,Ольга Грекова | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),8,Очерк,Судьба,Жизненный путь,Течение,Проводник,Дух–Материя,
M343,https://www.mk.ru/realestate/realty-analytics,Аналитика недвижимости - МК,Медленный (культурная публицистика),1,Эссе,Истина,Экзистенциальный кризис,Центр,Мудрец,Вера–Знание,
M343,https://www.mk.ru/realestate/realty-analytics,Аналитика недвижимости - МК,Медленный (культурная публицистика),2,Эссе,Путь,Жизненный путь,Семя,Проводник,Прошлое–Будущее,
M343,https://www.mk.ru/realestate/realty-analytics,Аналитика недвижимости - МК,Медленный (культурная публицистика),3,Культурная публицистика,Любовь,Обретение идентичности,Путь,Наблюдатель,Дух–Материя,
M343,https://www.mk.ru/realestate/realty-analytics,Аналитика недвижимости - МК,Медленный (культурная публицистика),4,Культурная публицистика,Душа,Моральный выбор,Течение,Творец,Свобода–Безопасность,
M343,https://www.mk.ru/realestate/realty-analytics,Аналитика недвижимости - МК,Медленный (культурная публицистика),5,Лонгрид,Мужество,Человеческое достоинство,Наводнение,Герой,Жизнь–Смерть,
M343,https://www.mk.ru/realestate/realty-analytics,Аналитика недвижимости - МК,Медленный (культурная публицистика),6,Культурная публицистика,Надежда,Духовное прозрение,Исток,Страдалец,Истина–Ложь,
M343,https://www.mk.ru/realestate/realty-analytics,Аналитика недвижимости - МК,Медленный (культурная публицистика),7,Очерк,Судьба,Столкновение с вечностью,Корни,Наблюдатель,Свобода–Безопасность,
M343,https://www.mk.ru/realestate/realty-analytics,Аналитика недвижимости - МК,Медленный (культурная публицистика),8,Лонгрид,Достоинство,Потеря смыслов,Увядание,Наблюдатель,Свобода–Безопасность,
M343,https://www.mk.ru/realestate/realty-analytics,Аналитика недвижимости - МК,Медленный (культурная публицистика),9,Эссе,Вера,Экзистенциальный кризис,Путь,Мудрец,Вера–Знание,
M344,https://www.mk.ru/authors/petr-spektor/god-2025,Петр Спектор | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),1,Эссе,Прогресс,Экономическая динамика,Засуха,Наблюдатель,Общее–Частное,
M344,https://www.mk.ru/authors/petr-spektor/god-2025,Петр Спектор | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),2,Очерк,Стабильность,Экономический рост,Механизм,Трудолюбивый,Стабильность–Перемены,
M344,https://www.mk.ru/authors/petr-spektor/god-2025,Петр Спектор | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),3,Колонка,Благополучие,Инновационный прорыв,Настройка,Жертва,Индивидуальное–Коллективное,
M344,https://www.mk.ru/authors/petr-spektor/god-2025,Петр Спектор | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),4,Колонка,Ответственность,Социальная дифференциация,Засуха,Творец,Честь–Выгода,
M344,https://www.mk.ru/authors/petr-spektor/god-2025,Петр Спектор | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),5,Колонка,Равенство,Рыночная конъюнктура,Течение,Новатор,Традиция–Новаторство,
M344,https://www.mk.ru/authors/petr-spektor/god-2025,Петр Спектор | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),6,Очерк,Благосостояние,Финансовые связи,Ржавчина,Устроитель,Справедливость–Законность,
M344,https://www.mk.ru/authors/petr-spektor/god-2025,Петр Спектор | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),7,Рецензия,Безопасность,Социальная солидарность,Разрушение,Защитник,Равенство–Иерархия,
M344,https://www.mk.ru/authors/petr-spektor/god-2025,Петр Спектор | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),8,Культурная публицистика,Справедливость,Экономическая модернизация,Семя,Творец,Индивидуальное–Коллективное,
M345,https://www.mk.ru/authors/igor-bokov/god-2025,Игорь Боков | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),1,Эссе,Развитие,Экономическая модернизация,Механизм,Новатор,Традиция–Новаторство,
M345,https://www.mk.ru/authors/igor-bokov/god-2025,Игорь Боков | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),2,Эссе,Долг,Экономическая динамика,Увядание,Жертва,Честь–Выгода,
M345,https://www.mk.ru/authors/igor-bokov/god-2025,Игорь Боков | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),3,Интервью,Равенство,Экономический рост,Шестерёнка,Устроитель,Индивидуальное–Коллективное,
M345,https://www.mk.ru/authors/igor-bokov/god-2025,Игорь Боков | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),4,Репортаж-эссе,Прогресс,Управление ресурсами,Течение,Творец,Стабильность–Перемены,
M345,https://www.mk.ru/authors/igor-bokov/god-2025,Игорь Боков | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),5,Колонка,Стабильность,Социальная дифференциация,Плоды,Трудолюбивый,Общее–Частное,
M345,https://www.mk.ru/authors/igor-bokov/god-2025,Игорь Боков | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),6,Колонка,Благосостояние,Рыночная конъюнктура,Исток,Наблюдатель,Справедливость–Законность,
M345,https://www.mk.ru/authors/igor-bokov/god-2025,Игорь Боков | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),7,Очерк,Истина,Жизненный путь,Запруда,Мудрец,Вера–Знание,
M345,https://www.mk.ru/authors/igor-bokov/god-2025,Игорь Боков | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),8,Интервью,Достоинство,Моральный выбор,Исток,Страдалец,Прошлое–Будущее,
M345,https://www.mk.ru/authors/igor-bokov/god-2025,Игорь Боков | Публикации за 2025 год - Московский комсомолец,Медленный (культурная публицистика),9,Репортаж-эссе,Труд,Инновационный прорыв,Прививка,Трудолюбивый,Стабильность–Перемены,
M346,https://www.mk.ru/social,Новости общества и общественной жизни - МК,Медленный (культурная публицистика),1,Эссе,Ответственность,Социальная солидарность,Наступление,Страдалец,Справедливость–Законность,
M346,https://www.mk.ru/social,Новости общества и общественной жизни - МК,Медленный (культурная публицистика),2,Колонка,Честь,Межпоколенческие отношения,Крепость,Герой,Общее–Частное,
M346,https://www.mk.ru/social,Новости общества и общественной жизни - МК,Медленный (культурная публицистика),3,Культурная публицистика,Память,Культурная трансформация,Реконструкция,Свидетель,Свой–Чужой,
M346,https://www.mk.ru/social,Новости общества и общественной жизни - МК,Медленный (культурная публицистика),4,Лонгрид,Власть,Государственный контроль,Трагедия,Враг,Порядок–Хаос,
M346,https://www.mk.ru/social,Новости общества и общественной жизни - МК,Медленный (культурная публицистика),5,Очерк,Правда,Миграционная волна,Капитуляция,Бунтарь,Добро–Зло,
M346,https://www.mk.ru/social,Новости общества и общественной жизни - МК,Медленный (культурная публицистика),6,Эссе,Семья,Социальная мобильность,Цветение,Защитник,Свобода–Безопасность,
M346,https://www.mk.ru/social,Новости общества и общественной жизни - МК,Медленный (культурная публицистика),7,Интервью,Долг,Социальная поляризация,Семя,Жертва,Равенство–Иерархия,
M346,https://www.mk.ru/social,Новости общества и общественной жизни - МК,Медленный (культурная публицистика),8,Колонка,Достоинство,Демографическая динамика,Оборона,Бунтарь,Общее–Частное,
M347,https://www.mk.ru/realestate/2025/12/21/pokupateli-kvartir-zakhoteli-prostranstva-pod-sebya-glavnye-trendy-na-stolichnom-rynke-novostroek-biznesklassa.html,главные тренды на столичном рынке новостроек бизнес-класса,Медленный (культурная публицистика),1,Рецензия,Вера,Моральный выбор,Путь,Мудрец,Вера–Знание,
M347,https://www.mk.ru/realestate/2025/12/21/pokupateli-kvartir-zakhoteli-prostranstva-pod-sebya-glavnye-trendy-na-stolichnom-rynke-novostroek-biznesklassa.html,главные тренды на столичном рынке новостроек бизнес-класса,Медленный (культурная публицистика),2,Культурная публицистика,Мужество,Человеческое достоинство,Низ,Творец,Свобода–Безопасность,
M347,https://www.mk.ru/realestate/2025/12/21/pokupateli-kvartir-zakhoteli-prostranstva-pod-sebya-glavnye-trendy-na-stolichnom-rynke-novostroek-biznesklassa.html,главные тренды на столичном рынке новостроек бизнес-класса,Медленный (культурная публицистика),3,Очерк,Справедливость,Финансовые связи,Устье,Трудолюбивый,Справедливость–Законность,
M347,https://www.mk.ru/realestate/2025/12/21/pokupateli-kvartir-zakhoteli-prostranstva-pod-sebya-glavnye-trendy-na-stolichnom-rynke-novostroek-biznesklassa.html,главные тренды на столичном рынке новостроек бизнес-класса,Медленный (культурная публицистика),4,Рецензия,Равенство,Социальная дифференциация,Течение,Наблюдатель,Традиция–Новаторство,
M347,https://www.mk.ru/realestate/2025/12/21/pokupateli-kvartir-zakhoteli-prostranstva-pod-sebya-glavnye-trendy-na-stolichnom-rynke-novostroek-biznesklassa.html,главные тренды на столичном рынке новостроек бизнес-класса,Медленный (культурная публицистика),5,Рецензия,Труд,Экономический рост,Рост,Жертва,Стабильность–Перемены,
M347,https://www.mk.ru/realestate/2025/12/21/pokupateli-kvartir-zakhoteli-prostranstva-pod-sebya-glavnye-trendy-na-stolichnom-rynke-novostroek-biznesklassa.html,главные тренды на столичном рынке новостроек бизнес-класса,Медленный (культурная публицистика),6,Эссе,Долг,Управление ресурсами,Устье,Устроитель,Честь–Выгода,
M347,https://www.mk.ru/realestate/2025/12/21/pokupateli-kvartir-zakhoteli-prostranstva-pod-sebya-glavnye-trendy-na-stolichnom-rynke-novostroek-biznesklassa.html,главные тренды на столичном рынке новостроек бизнес-класса,Медленный (культурная публицистика),7,Лонгрид,Благосостояние,Инновационный прорыв,Двигатель,Новатор,Индивидуальное–Коллективное,
M347,https://www.mk.ru/realestate/2025/12/21/pokupateli-kvartir-zakhoteli-prostranstva-pod-sebya-glavnye-trendy-na-stolichnom-rynke-novostroek-biznesklassa.html,главные тренды на столичном рынке новостроек бизнес-класса,Медленный (культурная публицистика),8,Культурная публицистика,Ответственность,Рыночная конъюнктура,Цветение,Трудолюбивый,Общее–Частное,
M348,https://www.mk.ru/culture,Новости культуры - МК - Московский комсомолец,Медленный (культурная публицистика),1,Эссе,Традиция,Культурная гибридизация,Корни,Новатор,Традиция–Новаторство,
M348,https://www.mk.ru/culture,Новости культуры - МК - Московский комсомолец,Медленный (культурная публицистика),2,Лонгрид,Память,Культурный канон,Строительство,Мудрец,Открытость–Закрытость,
M348,https://www.mk.ru/culture,Новости культуры - МК - Московский комсомолец,Медленный (культурная публицистика),3,Очерк,Образование,Эстетическая трансгрессия,Засуха,Наблюдатель,Прошлое–Будущее,
M348,https://www.mk.ru/culture,Новости культуры - МК - Московский комсомолец,Медленный (культурная публицистика),4,Репортаж-эссе,Культура,Идентичностный кризис,Граница,Проводник,Истина–Ложь,
M348,https://www.mk.ru/culture,Новости культуры - МК - Московский комсомолец,Медленный (культурная публицистика),5,Лонгрид,Красота,Традиция и новаторство,Цветение,Хранитель,Природа–Культура,
M348,https://www.mk.ru/culture,Новости культуры - МК - Московский комсомолец,Медленный (культурная публицистика),6,Лонгрид,Истина,Культурная память,Верх,Творец,Дух–Материя,
M348,https://www.mk.ru/culture,Новости культуры - МК - Московский комсомолец,Медленный (культурная публицистика),7,Колонка,Родина,Нравственный поиск,Семя,Хранитель,Прошлое–Будущее,
M348,https://www.mk.ru/culture,Новости культуры - МК - Московский комсомолец,Медленный (культурная публицистика),8,Рецензия,Ответственность,Социальная солидарность,Семя,Жертва,Свобода–Безопасность,
M348,https://www.mk.ru/culture,Новости культуры - МК - Московский комсомолец,Медленный (культурная публицистика),9,Культурная публицистика,Идентичность,Идентичностный кризис,Разрушение,Мудрец,Дух–Материя,
M349,https://culture.gov.ru,Министерство культуры Российской Федерации,Медленный (культурная публицистика),1,Лонгрид,Душа,Культурная гибридизация,Разрушение,Проводник,Дух–Материя,
M349,https://culture.gov.ru,Министерство культуры Российской Федерации,Медленный (культурная публицистика),2,Очерк,Идентичность,Культурная память,Разрушение,Творец,Открытость–Закрытость,
M349,https://culture.gov.ru,Министерство культуры Российской Федерации,Медленный (культурная публицистика),3,Эссе,Родина,Традиция и новаторство,Разрушение,Новатор,Истина–Ложь,
M349,https://culture.gov.ru,Министерство культуры Российской Федерации,Медленный (культурная публицистика),4,Рецензия,Память,Культурный канон,Реконструкция,Наблюдатель,Природа–Культура,
M349,https://culture.gov.ru,Министерство культуры Российской Федерации,Медленный (культурная публицистика),5,Очерк,Красота,Идентичностный кризис,Рост,Хранитель,Традиция–Новаторство,
M349,https://culture.gov.ru,Министерство культуры Российской Федерации,Медленный (культурная публицистика),6,Эссе,Культура,Эстетическая трансгрессия,Горизонт,Мудрец,Прошлое–Будущее,
M349,https://culture.gov.ru,Министерство культуры Российской Федерации,Медленный (культурная публицистика),7,Колонка,Истина,Нравственный поиск,Прививка,Творец,Истина–Ложь,
M350,https://mk.mosreg.ru,Министерство культуры Московской области,Медленный (культурная публицистика),1,Эссе,Путь,Столкновение с вечностью,Путь,Наблюдатель,Свобода–Безопасность,
M350,https://mk.mosreg.ru,Министерство культуры Московской области,Медленный (культурная публицистика),2,Культурная публицистика,Любовь,Жизненный путь,Рост,Мудрец,Прошлое–Будущее,
M350,https://mk.mosreg.ru,Министерство культуры Московской области,Медленный (культурная публицистика),3,Репортаж-эссе,Душа,Моральный выбор,Наводнение,Страдалец,Вера–Знание,
M350,https://mk.mosreg.ru,Министерство культуры Московской области,Медленный (культурная публицистика),4,Очерк,Вера,Эстетическая трансгрессия,Засуха,Проводник,Традиция–Новаторство,
M350,https://mk.mosreg.ru,Министерство культуры Московской области,Медленный (культурная публицистика),5,Очерк,Достоинство,Духовное прозрение,Корни,Герой,Жизнь–Смерть,
M350,https://mk.mosreg.ru,Министерство культуры Московской области,Медленный (культурная публицистика),6,Рецензия,Традиция,Идентичностный кризис,Архитектура,Хранитель,Открытость–Закрытость,
M350,https://mk.mosreg.ru,Министерство культуры Московской области,Медленный (культурная публицистика),7,Лонгрид,Память,Культурный канон,Засуха,Новатор,Природа–Культура,
M351,https://mk.alania.gov.ru,Главная | Министерство культуры Республики Северная Осетия,Медленный (культурная публицистика),1,Рецензия,Идентичность,Культурный канон,Граница,Наблюдатель,Открытость–Закрытость,
M351,https://mk.alania.gov.ru,Главная | Министерство культуры Республики Северная Осетия,Медленный (культурная публицистика),2,Колонка,Традиция,Нравственный поиск,Граница,Хранитель,Прошлое–Будущее,
M351,https://mk.alania.gov.ru,Главная | Министерство культуры Республики Северная Осетия,Медленный (культурная публицистика),3,Эссе,Вера,Традиция и новаторство,Цветение,Новатор,Природа–Культура,
M351,https://mk.alania.gov.ru,Главная | Министерство культуры Республики Северная Осетия,Медленный (культурная публицистика),4,Колонка,Душа,Культурная память,Плоды,Проводник,Дух–Материя,
M351,https://mk.alania.gov.ru,Главная | Министерство культуры Республики Северная Осетия,Медленный (культурная публицистика),5,Колонка,Память,Идентичностный кризис,Увядание,Мудрец,Традиция–Новаторство,
M351,https://mk.alania.gov.ru,Главная | Министерство культуры Республики Северная Осетия,Медленный (культурная публицистика),6,Эссе,Культура,Культурная гибридизация,Фундамент,Творец,Истина–Ложь,
M351,https://mk.alania.gov.ru,Главная | Министерство культуры Республики Северная Осетия,Медленный (культурная публицистика),7,Колонка,Истина,Эстетическая трансгрессия,Горизонт,Наблюдатель,Дух–Материя,
M352,https://mk.permkrai.ru,Министерство культуры Пермского края,Медленный (культурная публицистика),1,Интервью,Вера,Культурная гибридизация,Строительство,Наблюдатель,Открытость–Закрытость,
M352,https://mk.permkrai.ru,Министерство культуры Пермского края,Медленный (культурная публицистика),2,Лонгрид,Истина,Идентичностный кризис,Засуха,Творец,Истина–Ложь,
M352,https://mk.permkrai.ru,Министерство культуры Пермского края,Медленный (культурная публицистика),3,Интервью,Идентичность,Культурная память,Прививка,Проводник,Природа–Культура,
M352,https://mk.permkrai.ru,Министерство культуры Пермского края,Медленный (культурная публицистика),4,Рецензия,Душа,Традиция и новаторство,Верх,Новатор,Прошлое–Будущее,
M352,https://mk.permkrai.ru,Министерство культуры Пермского края,Медленный (культурная публицистика),5,Репортаж-эссе,Стабильность,Финансовые связи,Рост,Трудолюбивый,Стабильность–Перемены,
M352,https://mk.permkrai.ru,Министерство культуры Пермского края,Медленный (культурная публицистика),6,Очерк,Культура,Эстетическая трансгрессия,Семя,Мудрец,Дух–Материя,
M352,https://mk.permkrai.ru,Министерство культуры Пермского края,Медленный (культурная публицистика),7,Колонка,Образование,Культурный канон,Обвал,Хранитель,Традиция–Новаторство,
M352,https://mk.permkrai.ru,Министерство культуры Пермского края,Медленный (культурная публицистика),8,Репортаж-эссе,Родина,Нравственный поиск,Низ,Творец,Дух–Материя,
M353,https://dzen.ru/a/ahFb7ZPDW1dCfL0D,«Кутюр» (2025): красота как диагноз | (Не)критично,Медленный (культурная публицистика),1,Колонка,Образование,Традиция и новаторство,Корни,Хранитель,Открытость–Закрытость,
M353,https://dzen.ru/a/ahFb7ZPDW1dCfL0D,«Кутюр» (2025): красота как диагноз | (Не)критично,Медленный (культурная публицистика),2,Колонка,Долг,Конфликт интересов,Фундамент,Защитник,Свой–Чужой,
M353,https://dzen.ru/a/ahFb7ZPDW1dCfL0D,«Кутюр» (2025): красота как диагноз | (Не)критично,Медленный (культурная публицистика),3,Интервью,Традиция,Культурный канон,Граница,Мудрец,Дух–Материя,
M353,https://dzen.ru/a/ahFb7ZPDW1dCfL0D,«Кутюр» (2025): красота как диагноз | (Не)критично,Медленный (культурная публицистика),4,Репортаж-эссе,Справедливость,Институциональная трансформация,Режиссура,Оппонент,Равенство–Иерархия,
M353,https://dzen.ru/a/ahFb7ZPDW1dCfL0D,«Кутюр» (2025): красота как диагноз | (Не)критично,Медленный (культурная публицистика),5,Эссе,Душа,Культурная гибридизация,Простор,Наблюдатель,Истина–Ложь,
M353,https://dzen.ru/a/ahFb7ZPDW1dCfL0D,«Кутюр» (2025): красота как диагноз | (Не)критично,Медленный (культурная публицистика),6,Репортаж-эссе,Память,Культурная память,Горизонт,Новатор,Традиция–Новаторство,
M353,https://dzen.ru/a/ahFb7ZPDW1dCfL0D,«Кутюр» (2025): красота как диагноз | (Не)критично,Медленный (культурная публицистика),7,Рецензия,Вера,Нравственный поиск,Реконструкция,Творец,Природа–Культура,
M354,https://znamlit.ru/publication.php?id=9252,«Дружба народов»: от вчера к сегодня. Сергей Чупринин,Глубокий (литературный канон),1,Литературный очерк,Развитие,Экономическая динамика,Засуха,Устроитель,Стабильность–Перемены,
M354,https://znamlit.ru/publication.php?id=9252,«Дружба народов»: от вчера к сегодня. Сергей Чупринин,Глубокий (литературный канон),2,Эссе-размышление,Правда,Социальная поляризация,Рост,Свидетель,Свобода–Безопасность,
M354,https://znamlit.ru/publication.php?id=9252,«Дружба народов»: от вчера к сегодня. Сергей Чупринин,Глубокий (литературный канон),3,Эссе-размышление,Ответственность,Управление ресурсами,Двигатель,Творец,Справедливость–Законность,
M354,https://znamlit.ru/publication.php?id=9252,«Дружба народов»: от вчера к сегодня. Сергей Чупринин,Глубокий (литературный канон),4,Мемуарный очерк,Достоинство,Демографическая динамика,Мобилизация,Бунтарь,Общее–Частное,
M354,https://znamlit.ru/publication.php?id=9252,«Дружба народов»: от вчера к сегодня. Сергей Чупринин,Глубокий (литературный канон),5,Философская публицистика,Семья,Миграционная волна,Увядание,Защитник,Равенство–Иерархия,
M354,https://znamlit.ru/publication.php?id=9252,«Дружба народов»: от вчера к сегодня. Сергей Чупринин,Глубокий (литературный канон),6,Культурологическое эссе,Память,Социальная солидарность,Цветение,Страдалец,Свой–Чужой,
M354,https://znamlit.ru/publication.php?id=9252,«Дружба народов»: от вчера к сегодня. Сергей Чупринин,Глубокий (литературный канон),7,Литературная критика,Долг,Социальная мобильность,Увядание,Жертва,Добро–Зло,
M355,https://sovross.ru/2026/05/29/ekonomika-dolzhna-byt-nezavisimoj,"Экономика должна быть независимой! - Газета ""Советская Россия""",Глубокий (литературный канон),1,Мемуарный очерк,Благополучие,Экономический рост,Корни,Жертва,Индивидуальное–Коллективное,
M355,https://sovross.ru/2026/05/29/ekonomika-dolzhna-byt-nezavisimoj,"Экономика должна быть независимой! - Газета ""Советская Россия""",Глубокий (литературный канон),2,Литературная критика,Ответственность,Рыночная конъюнктура,Увядание,Устроитель,Честь–Выгода,
M355,https://sovross.ru/2026/05/29/ekonomika-dolzhna-byt-nezavisimoj,"Экономика должна быть независимой! - Газета ""Советская Россия""",Глубокий (литературный канон),3,Философская публицистика,Благосостояние,Финансовые связи,Настройка,Творец,Стабильность–Перемены,
M355,https://sovross.ru/2026/05/29/ekonomika-dolzhna-byt-nezavisimoj,"Экономика должна быть независимой! - Газета ""Советская Россия""",Глубокий (литературный канон),4,Культурологическое эссе,Долг,Управление ресурсами,Корни,Новатор,Общее–Частное,
M355,https://sovross.ru/2026/05/29/ekonomika-dolzhna-byt-nezavisimoj,"Экономика должна быть независимой! - Газета ""Советская Россия""",Глубокий (литературный канон),5,Эссе-размышление,Смысл,Моральный выбор,Наводнение,Наблюдатель,Жизнь–Смерть,
M355,https://sovross.ru/2026/05/29/ekonomika-dolzhna-byt-nezavisimoj,"Экономика должна быть независимой! - Газета ""Советская Россия""",Глубокий (литературный канон),6,Философская публицистика,Стабильность,Социальная дифференциация,Ремонт,Трудолюбивый,Традиция–Новаторство,
M355,https://sovross.ru/2026/05/29/ekonomika-dolzhna-byt-nezavisimoj,"Экономика должна быть независимой! - Газета ""Советская Россия""",Глубокий (литературный канон),7,Философская публицистика,Справедливость,Экономическая динамика,Ржавчина,Жертва,Справедливость–Законность,
